ID	TAIR
Q9SE50-2	AT1G52400.2
Q38933-2	AT3G10230.2
Q8L5Y6-2	AT2G02560.2
Q9C5Y0-2	AT4G35790.2
Q8LAZ7-2	AT1G22920.2
A0A1I9LTQ6	AT3G10270.2
A0A1P8BE11	AT5G52580.3
Q76E23-2	AT3G60240.3
A0A1I9LMI7	AT3G23450.2
Q93ZV7-2	AT4G32720.2
A0A1P8APZ6	AT1G21630.4
A0A1P8B4Q9	AT4G18740.4
Q9S9P8-2	AT1G30510.1
B6EUB3-2	AT5G47690.3
Q94K85-2	AT4G01610.2
A0A1P8B9I4	AT5G16120.4
A0A1P8ARB7	AT1G02080.3
Q9C882-3	AT1G33240.1
A0A1P8AS03-2	AT1G55500.1
A0A1P8B209	AT2G22795.2
A0A1P8AYH5	AT2G20960.2
A0A1P8BG97	AT5G18420.4
Q9SUM3-2	AT4G30210.1
Q8L838	AT4G01395.1
A0A1I9LNN0	AT3G50590.2
A0A1P8B5I9	AT4G31210.2
A0A1R7T3A0	AT5G16810.2
A0A1P8B413	AT4G13550.3
F4JFJ3-2	AT3G02060.2
Q9LS39-2	AT3G18500.1
Q9SMV6-2	AT5G17020.2
A3KPF2-2	AT5G49020.2
F4IV66-2	AT2G04270.1
Q8H136-2	AT3G01540.1
Q9LZX6-2	AT3G60880.1
Q42523-2	AT1G03090.1
A0A1P8AVD8	AT1G18270.4
Q9SB63	AT4G24680.3
Q9SB63	AT4G24680.5
A0A1P8B770	AT4G17330.3
A4GSN8-2	AT1G79280.2
A0A1P8B2A9	AT2G35630.2
Q84N64-2	AT3G19720.2
Q27GK7-2	AT3G15880.2
A0A1P8B118	AT2G03140.12
P56779	ATCG00580
P62126	ATCG00065
P62126	ATCG00905
P62126	ATCG01230
P83483	AT5G08670
P56808	ATCG00820
P92549	ATMG01190
P82658	AT3G63540
Q94BT2	AT3G07390
P56772	ATCG00670
A0A1P8BDF7	AT5G66530
Q94BT9	AT1G66240
Q9FJX3	AT5G67500
P56804	ATCG00330
O22793	AT2G33430
F4HQD4	AT1G79920
P56765	ATCG00500
Q9FKA5	AT5G39570
A0A1P8B982	AT5G01650
Q93Z70	AT2G19940
A0A1R7T3A4	AT5G65620
A0A1P8AR50	AT1G01320
P93285	ATMG00160
A0A1P8BF69	AT5G14030
P61843	ATCG00360
A0A1P8AZN3	AT2G32520
A0A1P8B7H4	AT4G20760
Q95748	ATMG00070
Q04613	ATMG00640
A0A1I9LNZ1	AT3G07470
A0A1P8BEU1	AT5G27390
A0A1R7T377	AT5G27560
A0A1P8BAU8	AT5G23890
P93306	ATMG00510
P60497	ATMG00270
C0Z2R6	AT4G18950
A0A1P8B8P6	AT4G24380
A0A1P8AS55	AT1G64680
P0DO44	AT3G46430
A0A1R7T3E3	AT5G52410
A0A1P8AVY5	AT1G35420
A0A1P8B9R5	AT5G61510
A0A1P8B8B4	AT4G01870
Q8GXR9	AT5G08740
A0A1R7T3A2	AT5G20130
A0A1P8ATZ7	AT1G21350
Q93ZE5	AT4G15940
A0A178UXH8	AT4G37550
P56785	ATCG01000
P56785	ATCG01130
A0A1I9LMK8	AT3G47560
A0A1I9LT30	AT3G56130
A0A1P8B956	AT4G12290
A0A1P8BGI7	AT5G17530
A0A1P8B223	AT2G35820
Q84LM4	AT4G14570
P92558	AT2G07785
P92558	AT2G07786
P92558	ATMG00516
P92558	ATMG01120
P92558	ATMG01275
O05000	ATMG00285
O05000	ATMG01320
A0A1P8AX61	AT2G01755
A0A178VFU5	AT3G09250
A0A1P8BB34	AT5G36230
A0A1P8APX5	AT1G04290
F4IXW2	AT3G43300
P26288	ATCG01050
A0A1P8B4Q6	AT4G10430
Q9M9V9	AT3G05540
A0A1P8BG49	AT5G04440
A0A1P8AU33	AT1G62850
A0A1P8B4G8	AT4G14930
A0A1P8AVH1	AT1G52730
A0A1I9LL75	AT3G13740
A0A1P8APR1	AT1G48460
A0A1P8AP55	AT1G80770
A0A1I9LRX3	AT3G10840
A0A1P8B9X6	AT5G06220
A0A1I9LPI7	AT3G56160
Q9SAE3	AT1G13090
A0A1R7T3I7	AT5G57120
A0A1P8B5D2	AT4G38550
A0A1P8ARL4	AT1G15060
A0A1I9LR68	AT3G47000
Q8LC68	AT1G18800
A0A1P8ASX3	AT1G15950
A0A1P8AXX8	AT2G34310
A0A178V207	AT4G33625
Q9FI43	AT5G51050
A0A1P8BD60	AT5G63060
A0A1I9LM38	AT3G01920
A0A178UVJ1	AT4G01995
A0A1I9LSH2	AT3G62360
A0A1P8BBQ3	AT5G28237
A0A1P8BEB7	AT5G62840
A0A1I9LN21	AT3G60450
A0A1I9LMT6	AT3G12640
O23482	AT4G16370
A0A178WMJ5	AT1G55980
A0A1I9LLZ2	AT3G45190
A0A1P8AV86	AT1G06060
A0A1P8B4Y6	AT4G21660
A0A1P8B9A6	AT5G65685
A0A1I9LP71	AT3G26085
A0A1P8B6F9	AT4G02120
A0A1P8AVN7	AT1G66940
A0A1P8B9Q7	AT5G18230
X5JB51	AT5G12365
A0A1P8B8V0	AT4G22285
A0A1I9LTL7	AT3G13060
A0A1I9LTQ6	AT3G10270
A0A1P8BE11	AT5G52580
A0A1I9LMI7	AT3G23450
Q8W4I6	AT3G57180
A0A1P8APZ6	AT1G21630
A0A1P8B4Q9	AT4G18740
P92547	ATMG01170
A0A1P8B9I4	AT5G16120
A0A1P8ARB7	AT1G02080
A0A1P8B209	AT2G22795
A0A1P8AYH5	AT2G20960
A0A1P8BG97	AT5G18420
Q8L838	AT4G01395
A0A1I9LNN0	AT3G50590
A0A1P8B5I9	AT4G31210
A0A1R7T3A0	AT5G16810
A0A1P8B413	AT4G13550
A0A1P8AVD8	AT1G18270
Q9SB63	AT4G24680
A0A1P8B770	AT4G17330
A0A1P8B2A9	AT2G35630
F4KBW6	AT5G51200
A0A1P8B118	AT2G03140
A0A178V8A7	AT3G19900
A0A1I9LNL3	AT3G01980
A0A1I9LP52	AT3G01130
A0A1I9LSP2	AT3G04890
A0A1P8AMP4	AT1G48090
A0A1P8ATN7	AT1G50380
A0A1P8AV47	AT1G05087
A0A1P8AVK8	AT1G80940
A0A1P8AVY3	AT1G45201
A0A1P8AWW7	AT1G63830
A0A1P8AZI1	AT2G38780
A0A1P8BDH1	AT5G53310
A0A1P8BDL4	AT5G66550
A0A1P8BG34	AT5G11910
B9DGT7	AT1G50010
B9DHA6	AT2G36170
B9DHQ0	AT5G19780
F4I6W3	AT1G70730
F4IGR5	AT2G27720
F4IUA0	AT2G04039
F4JY76	AT5G25754
F4JY76	AT5G25757
F4K409	AT5G13650
F4K410	AT5G13650
O22860	AT2G43460
O22860	AT3G59540
O23290	AT3G23390
O23290	AT4G14320
O50061	AT1G07320
P0CJ46	AT2G37620
P0CJ48	AT1G29920
P0DH79	AT5G50640
P0DH91	AT1G70490
P0DH92	AT4G34720
P0DH95	AT5G37780
P0DH97	AT2G41110
P0DH99	AT1G07940
P0DI78	AT3G28290
P0DKC3	AT5G36700
P0DKL4	AT3G55200
P34788	AT1G22780
P34788	AT1G34030
P34788	AT4G09800
P42794	AT3G58700
P42794	AT4G18730
P42794	AT5G45775
P42798	AT1G07770
P42798	AT5G59850
P49200	AT3G45030
P49200	AT5G62300
P49209	AT1G33120
P49209	AT1G33140
P49689	AT2G19750
P49689	AT4G29390
P49689	AT5G56670
P49690	AT1G04480
P49690	AT2G33370
P49690	AT3G04400
P51407	AT2G27720
P56786	ATCG00860
P56786	ATCG01280
P56791	ATCG00830
P56791	ATCG01310
P59169	AT4G40030
P59169	AT4G40040
P59169	AT5G10980
P59226	AT1G09200
P59226	AT3G27360
P59226	AT5G10390
P59226	AT5G10400
P59226	AT5G65360
P59259	AT1G07660
P59259	AT1G07820
P59259	AT2G28740
P59259	AT3G45930
P59259	AT3G46320
P59259	AT3G53730
P59259	AT5G59690
P59259	AT5G59970
P61841	ATCG00900
P61841	ATCG01240
P61845	ATCG00840
P61845	ATCG01300
P93303	AT2G07707
P93303	ATMG00480
Q2V4Q4	AT1G07320
Q43291	AT1G09590
Q43291	AT1G09690
Q56XG6	AT5G11170
Q56YW9	AT5G62690
Q680P8	AT3G43980
Q680P8	AT3G44010
Q680P8	AT4G33865
Q6NMC1	AT1G72640
Q84K46	AT1G27330
Q84K46	AT1G27350
Q93Z84	AT2G04039
Q9FDZ9	AT1G57660
Q9FDZ9	AT1G57860
Q9SGC1	AT1G70730
Q9SR73	AT3G10090
Q9SR73	AT5G03850
